material_id,material_type,description,uom,lifecycle_status,lead_time_days,lot_size,safety_stock,reorder_point,standard_cost_usd,procurement_type,mrp_controller,hazmat_flag,country_of_origin,batch_tracking,created_date,last_changed_date
MAT00001,ROH,Material description for MAT00001,KG,PROTOTYPE,70,1,151,3,468.93,E,P103,N,,,2022-11-12,2024-07-12
MAT00002,VERP,Material description for MAT00002,BOX,ACTIVE,21,100,87,27,4786.09,F,P148,Y,CN,,2021-10-08,2023-09-28
MAT00003,ROH,Material description for MAT00003,M,ACTIVE,81,500,92,90,348.24,X,P137,Y,DE,X,2019-04-06,2023-10-12
MAT00004,VERP,Material description for MAT00004,L,ACTIVE,90,1,155,68,3645.77,E,P134,N,,,2023-08-14,2023-02-27
MAT00005,HALB,Material description for MAT00005,M,OBSOLETE,73,50,54,50,4423.47,X,P133,N,DE,,2021-04-18,2024-07-05
MAT00006,FERT,Material description for MAT00006,PC,ACTIVE,18,500,126,6,4305.58,E,P187,N,IN,X,2019-04-26,2024-01-26
MAT00007,HIBE,Material description for MAT00007,PC,DISCONTINUED,,1,174,96,1334.49,X,P137,N,DE,,2015-01-14,2023-09-27
MAT00008,HIBE,Material description for MAT00008,EA,OBSOLETE,82,500,155,47,3812.67,X,P167,Y,IN,,2020-06-24,2023-01-20
MAT00009,ROH,Material description for MAT00009,BOX,BLOCKED,31,500,20,62,4080.21,X,P116,N,IN,X,2017-12-21,2024-06-24
MAT00010,HIBE,Material description for MAT00010,PC,ACTIVE,40,100,171,56,4498.12,F,P128,Y,CN,X,2021-08-06,2024-07-21
MAT00011,HALB,,SET,ACTIVE,5,50,18,35,3345.05,E,P192,N,DE,,2019-07-26,2023-07-14
MAT00012,ROH,Material description for MAT00012,M,ACTIVE,7,1,15,43,4003.06,E,P124,N,DE,,2017-01-21,2023-10-13
MAT00013,VERP,Material description for MAT00013,M,ACTIVE,13,1,166,1,4845.0,E,P162,N,DE,,2015-08-29,2023-06-18
MAT00014,VERP,Material description for MAT00014,BOX,PROTOTYPE,90,500,169,19,949.89,E,P174,Y,,,2015-08-23,2023-02-21
