rule_id,rule_name,severity,domain,entity_id,detail,business_impact
MAT-001,Missing material description,HIGH,Material,MAT00011,Description is blank or null,Buyers cannot identify the material; procurement errors likely.
MAT-001,Missing material description,HIGH,Material,MAT00019,Description is blank or null,Buyers cannot identify the material; procurement errors likely.
MAT-001,Missing material description,HIGH,Material,MAT00046,Description is blank or null,Buyers cannot identify the material; procurement errors likely.
MAT-001,Missing material description,HIGH,Material,MAT00049,Description is blank or null,Buyers cannot identify the material; procurement errors likely.
MAT-001,Missing material description,HIGH,Material,MAT00088,Description is blank or null,Buyers cannot identify the material; procurement errors likely.
MAT-001,Missing material description,HIGH,Material,MAT00122,Description is blank or null,Buyers cannot identify the material; procurement errors likely.
MAT-001,Missing material description,HIGH,Material,MAT00170,Description is blank or null,Buyers cannot identify the material; procurement errors likely.
MAT-001,Missing material description,HIGH,Material,MAT00177,Description is blank or null,Buyers cannot identify the material; procurement errors likely.
MAT-002,Invalid unit of measure,CRITICAL,Material,MAT00057,UOM value: INVALID,"Incorrect UOM breaks purchase orders, goods receipts, and inventory valuations."
MAT-002,Invalid unit of measure,CRITICAL,Material,MAT00075,UOM value: INVALID,"Incorrect UOM breaks purchase orders, goods receipts, and inventory valuations."
MAT-002,Invalid unit of measure,CRITICAL,Material,MAT00089,UOM value: INVALID,"Incorrect UOM breaks purchase orders, goods receipts, and inventory valuations."
MAT-002,Invalid unit of measure,CRITICAL,Material,MAT00090,UOM value: INVALID,"Incorrect UOM breaks purchase orders, goods receipts, and inventory valuations."
MAT-002,Invalid unit of measure,CRITICAL,Material,MAT00118,UOM value: INVALID,"Incorrect UOM breaks purchase orders, goods receipts, and inventory valuations."
MAT-002,Invalid unit of measure,CRITICAL,Material,MAT00125,UOM value: INVALID,"Incorrect UOM breaks purchase orders, goods receipts, and inventory valuations."
MAT-002,Invalid unit of measure,CRITICAL,Material,MAT00197,UOM value: INVALID,"Incorrect UOM breaks purchase orders, goods receipts, and inventory valuations."
MAT-003,Active material missing MRP controller,HIGH,Material,MAT00069,"Lifecycle: ACTIVE, MRP controller: NULL",MRP runs with no planner assigned; shortage goes unnoticed.
